Name of the Element,Symbol of the Element,Atomic Number,x,y
Hydrogen,H,1,-426,140
Helium,He,2,424,140
Lithium,Li,3,-425,90
Beryllium,Be,4,-375,90
Boron,B,5,174,90
Carbon,C,6,223,90
Nitrogen,N,7,275,90
Oxygen,O,8,322,90
Fluorine,F,9,373,90
Neon,Ne,10,423,90
Sodium,Na,11,-426,40
Magnesium,Mg,12,-375,40
Aluminium,Al,13,172,40
Silicon,Si,14,223,40
Phosphorus,P,15,273,40
Sulfur,S,16,324,40
Chlorine,Cl,17,372,40
Argon,Ar,18,421,40
Potassium,K,19,-426,-10
Calcium,Ca,20,-375,-10
Scandium,Sc,21,-325,-10
Titanium,Ti,22,-275,-10
Vanadium,V,23,-225,-10
Chromium,Cr,24,-175,-10
Manganese,Mn,25,-125,-10
Iron,Fe,26,-75,-10
Cobalt,Co,27,-28,-10
Nickel,Ni,28,23,-10
Copper,Cu,29,73,-10
Zinc,Zn,30,120,-10
Gallium,Ga,31,175,-10
Germanium,Ge,32,225,-10
Arsenic,As,33,274,-10
Selenium,Se,34,323,-10
Bromine,Br,35,372,-10
Krypton,Kr,36,425,-10
Rubidium,Rb,37,-426,-60
Strontium,Sr,38,-375,-60
Yttrium,Y,39,-325,-60
Zirconium,Zr,40,-275,-60
Niobium,Nb,41,-225,-60
Molybdenum,Mo,42,-175,-60
Technetium,Tc,43,-125,-60
Ruthenium,Ru,44,-75,-60
Rhodium,Rh,45,-29,-60
Palladium,Pd,46,21,-60
Silver,Ag,47,71,-60
Cadmium,Cd,48,122,-60
Indium,In,49,174,-60
Tin,Sn,50,222,-60
Antimony,Sb,51,273,-60
Tellurium,Te,52,321,-60
Iodine,I,53,372,-60
Xenon,Xe,54,425,-60
Cesium,Cs,55,-426,-110
Barium,Ba,56,-375,-110
Lanthanum,La,57,-325,-110
Cerium,Ce,58,-325,-240
Praseodymium,Pr,59,-276,-240
Neodymium,Nd,60,-226,-240
Promethium,Pm,61,-177,-240
Samarium,Sm,62,-127,-240
Europium,Eu,63,-76,-240
Gadolinium,Gd,64,-28,-240
Terbium,Tb,65,23,-240
Dysprosium,Dy,66,72,-240
Holmium,Ho,67,123,-240
Erbium,Er,68,174,-240
Thulium,Tm,69,220,-240
Ytterbium,Yb,70,272,-240
Lutetium,Lu,71,323,-240
Hafnium,Hf,72,-275,-110
Tantalum,Ta,73,-225,-110
Tungsten,W,74,-175,-110
Rhenium,Re,75,-125,-110
Osmium,Os,76,-75,-110
Iridium,Ir,77,-27,-110
Platinum,Pt,78,24,-110
Gold,Au,79,71,-110
Mercury,Hg,80,124,-110
Thallium,Tl,81,173,-110
Lead,Pb,82,221,-110
Bismuth,Bi,83,274,-110
Polonium,Po,84,323,-110
Astatine,At,85,369,-110
Radon,Rn,86,423,-110
Francium,Fr,87,-426,-160
Radium,Ra,88,-376,-160
Actinium,Ac,89,-325,-160
Thorium,Th,90,-329,-290
Protactinium,Pa,91,-277,-290
Uranium,U,92,-225,-290
Neptunium,Np,93,-175,-290
Plutonium,Pu,94,-129,-290
Americium,Am,95,-77,-290
Curium,Cm,96,-28,-290
Berkelium,Bk,97,27,-290
Californium,Cf,98,71,-290
Einsteinium,Es,99,121,-290
Fermium,Fm,100,173,-290
Mendelevium,Md,101,224,-290
Nobelium,No,102,273,-290
Lawrencium,Lr,103,324,-290
Rutherfordium,Rf,104,-275,-160
Dubnium,Db,105,-225,-160
Seaborgium,Sg,106,-175,-160
Bohrium,Bh,107,-125,-160
Hassium,Hs,108,-78,-160
Meitnerium,Mt,109,-27,-160
Darmstadtium,Ds,110,20,-160
Roentgenium,Rg,111,71,-160
Copernicium,Cn,112,122,-160
Nihonium,Nh,113,173,-160
Flerovium,Fl,114,222,-160
Moscovium,Mc,115,271,-160
Livermorium,Lv,116,320,-160
Tennessine,Ts,117,368,-160
Oganesson,Og,118,424,-160
